time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2013-02-14T13:13:53.130Z,67.631,142.508,11,6.6,mww,697,15.3,,1.15,us,usc000f76f,2015-06-30T16:59:04.050Z,"135km WSW of Druzhina, Russia",earthquake,,,,,reviewed,us,us
2013-02-16T04:37:36.220Z,5.812,125.748,105,6.1,mww,513,17.6,,0.76,us,usc000f8be,2015-06-30T16:59:04.052Z,"16km SE of Caburan, Philippines",earthquake,,,,,reviewed,us,us
2013-02-22T12:01:58.200Z,-27.932,-63.097,575.2,6.1,mww,668,20.1,,0.8,us,usc000fbl2,2015-06-30T16:59:04.055Z,"23km ESE of Suncho Corral, Argentina",earthquake,,2.6,,,reviewed,us,us
2013-02-28T14:05:50.250Z,50.954,157.283,41,6.9,mww,531,20.7,,0.94,us,usc000febi,2015-06-30T16:59:04.057Z,"84km SE of Ozernovskiy, Russia",earthquake,,,,,reviewed,us,us
2013-03-01T12:53:51.070Z,50.895,157.453,33,6.4,mww,635,34.8,,0.86,us,usc000fewp,2015-06-30T16:59:04.058Z,"93km SE of Ozernovskiy, Russia",earthquake,,,,,reviewed,us,us
2013-03-01T13:20:49.930Z,50.958,157.408,29,6.5,mww,480,20.7,,0.87,us,usc000feww,2015-06-30T16:59:04.059Z,"89km SE of Ozernovskiy, Russia",earthquake,,,,,reviewed,us,us
2013-03-10T22:51:50.800Z,-6.598,148.174,28,6.5,mww,317,14.2,,1.26,us,usb000fij4,2015-06-30T16:59:04.060Z,"32km E of Finschhafen, Papua New Guinea",earthquake,,,,,reviewed,us,us
2013-03-24T08:13:45.130Z,-20.757,173.37,10,6.1,mww,267,32.6,,0.8,us,usb000frwy,2014-11-07T01:50:22.800Z,"167km NW of Ceva-i-Ra, Fiji",earthquake,,,,,reviewed,us,us
2013-03-25T23:02:12.770Z,14.487,-90.463,189,6.2,mww,674,25.1,,1.1,us,usb000fshy,2015-06-30T16:59:04.063Z,"6km ENE of Santa Catarina Pinula, Guatemala",earthquake,,,,,reviewed,us,us
2013-04-01T18:53:17.420Z,39.526,143.167,14,6,mww,495,52.5,,0.85,us,usb000fxh7,2015-01-29T22:02:47.450Z,"108km E of Miyako, Japan",earthquake,,,,,reviewed,us,us
2013-04-05T13:00:02.130Z,42.736,131.003,563.3,6.3,mww,680,16.5,,0.86,us,usb000g0cq,2014-11-07T01:50:30.685Z,"9km N of Zarubino, Russia",earthquake,,2.5,,,reviewed,us,us
2013-04-06T04:42:35.860Z,-3.517,138.476,66,7,mww,640,11.4,,0.81,us,usb000g13s,2015-01-31T03:43:21.989Z,"240km E of Enarotali, Indonesia",earthquake,,,,,reviewed,us,us
2013-04-09T11:52:49.920Z,28.428,51.593,12,6.4,mww,427,20.6,,0.83,us,usb000g2y5,2015-01-28T14:58:08.923Z,"89km SE of Bandar Bushehr, Iran",earthquake,,,,,reviewed,us,us
2013-04-13T22:49:50.550Z,-19.141,169.535,280.2,6,mww,632,14.1,,1.04,us,usb000g6it,2014-11-07T01:50:33.654Z,"53km NNE of Isangel, Vanuatu",earthquake,,3.9,,,reviewed,us,us
2013-04-14T01:32:22.640Z,-6.475,154.607,31,6.6,mww,491,11.5,,0.64,us,usb000g6lc,2014-11-07T01:50:33.775Z,"98km W of Panguna, Papua New Guinea",earthquake,,,,,reviewed,us,us
2013-04-16T10:44:20.180Z,28.033,61.996,80,7.7,mww,506,26.6,,1.09,us,usb000g7x7,2015-04-18T20:24:16.718Z,"83km E of Khash, Iran",earthquake,,,,,reviewed,us,us
2013-04-16T22:55:26.680Z,-3.214,142.542,13,6.6,mww,445,11,,1.06,us,usb000g8my,2015-01-30T23:00:57.029Z,"23km ESE of Aitape, Papua New Guinea",earthquake,,,,,reviewed,us,us
2013-04-19T03:05:52.650Z,46.221,150.788,110,7.2,mww,770,10.1,,0.86,us,usb000gbf8,2015-01-30T02:10:37.781Z,"251km ENE of Kuril'sk, Russia",earthquake,,,,,reviewed,us,us
